Data	Hora	Exchange	Moeda	Sinal	Grafico	Preco
23/01/2026	21:01:46	BINANCE	ICXUSDT	alerta de compra	60 minutos	0,0556,
23/01/2026	21:01:50	BINANCE	ICXUSDT	alerta de compra	60 minutos	0,0559,
23/01/2026	21:15:06	BINANCE	WAXPUSDT	alerta de compra	60 minutos	0,00909,
23/01/2026	21:15:06	BINANCE	WAXPUSDT	alerta de compra	60 minutos	0,00909,
23/01/2026	21:15:07	BINANCE	WAXPUSDT	alerta de compra	60 minutos	0,00909,
23/01/2026	21:15:08	BINANCE	LPTUSDT	agulhada santa de compra	60 minutos	3,251,
23/01/2026	21:15:08	BINANCE	LPTUSDT	agulhada santa de compra	60 minutos	3,251,
23/01/2026	21:15:08	BINANCE	LPTUSDT	alerta de compra	60 minutos	3,251,
23/01/2026	21:15:08	BINANCE	LPTUSDT	agulhada santa de compra	60 minutos	3,258,
23/01/2026	21:15:09	BINANCE	LPTUSDT	alerta de compra	60 minutos	3,251,
23/01/2026	21:15:09	BINANCE	LPTUSDT	alerta de compra	60 minutos	3,258,
23/01/2026	22:14:55	BINANCE	APTUSDT	agulhada santa de venda	15 minutos	1,543,
23/01/2026	22:14:55	BINANCE	APTUSDT	agulhada santa de venda	15 minutos	1,543,
23/01/2026	22:15:05	BINANCE	LPTUSDT	agulhada santa de compra	60 minutos	3,37,
23/01/2026	22:15:06	BINANCE	LPTUSDT	agulhada santa de compra	60 minutos	3,365,
23/01/2026	22:15:06	BINANCE	LPTUSDT	agulhada santa de compra	60 minutos	3,365,
23/01/2026	22:16:20	BINANCE	IMXUSDT	agulhada santa de venda	15 minutos	0,248,
23/01/2026	22:31:19	BINANCE	IMXUSDT	agulhada santa de venda	15 minutos	0,248,
23/01/2026	22:32:03	BINANCE	ORDIUSDT	agulhada santa de venda	15 minutos	3,907,
23/01/2026	22:46:07	BINANCE	OMUSDT	alerta de compra	60 minutos	0,0673,
23/01/2026	22:46:11	BINANCE	OMUSDT	agulhada santa de compra	60 minutos	0,0674,
23/01/2026	22:49:19	BINANCE	ZECUSDT	agulhada santa de venda	15 minutos	366,74,
23/01/2026	23:00:24	BINANCE	ZECUSDT	agulhada santa de venda	15 minutos	366,46,
23/01/2026	23:53:41	BINANCE	ARKMUSDT	agulhada santa de venda	15 minutos	0,176,
23/01/2026	23:53:41	BINANCE	ARKMUSDT	agulhada santa de venda	15 minutos	0,176,
