Data	Hora	Exchange	Moeda	Sinal	Grafico	Preco
21/01/2026	21:30:08	BINANCE	DUSKUSDT	agulhada santa de venda	60 minutos	0,2116,
21/01/2026	21:30:09	BINANCE	DUSKUSDT	agulhada de venda	60 minutos	0,2116,
21/01/2026	21:30:10	BINANCE	DUSKUSDT	agulhada santa de venda	60 minutos	0,2118,
21/01/2026	21:30:10	BINANCE	DUSKUSDT	agulhada santa de venda	60 minutos	0,2116,
21/01/2026	21:30:10	BINANCE	DUSKUSDT	agulhada de venda	60 minutos	0,2118,
21/01/2026	21:30:11	BINANCE	DUSKUSDT	agulhada de venda	60 minutos	0,2116,
21/01/2026	22:20:52	BINANCE	CHZUSDT	agulhada santa de compra	60 minutos	0,05303,
21/01/2026	22:34:40	BINANCE	SANDUSDT	agulhada santa de compra	60 minutos	0,1562,
21/01/2026	22:45:06	BINANCE	AXSUSDT	agulhada santa de compra	60 minutos	2,654,
21/01/2026	22:45:07	BINANCE	AXSUSDT	agulhada santa de compra	60 minutos	2,653,
21/01/2026	22:46:45	BINANCE	BLURUSDT	agulhada santa de compra	60 minutos	0,03329,
21/01/2026	23:45:05	BINANCE	SANDUSDT	agulhada santa de compra	60 minutos	0,164,
21/01/2026	23:45:05	BINANCE	SANDUSDT	agulhada santa de compra	60 minutos	0,164,
21/01/2026	23:45:07	BINANCE	SANDUSDT	agulhada santa de compra	60 minutos	0,164,
22/01/2026	00:08:56	BINANCE	STGUSDT	agulhada santa de compra	60 minutos	0,1691,
22/01/2026	00:22:47	BINANCE	BATUSDT	agulhada santa de compra	60 minutos	0,195,
22/01/2026	00:29:23	BINANCE	XTZUSDT	agulhada santa de venda	15 minutos	0,5906,
22/01/2026	00:30:11	BINANCE	XTZUSDT	agulhada santa de venda	15 minutos	0,5906,
22/01/2026	00:34:52	BINANCE	GLMUSDT	agulhada santa de venda	15 minutos	0,2369,
22/01/2026	00:45:13	BINANCE	GLMUSDT	agulhada santa de venda	15 minutos	0,2364,
22/01/2026	01:00:10	BINANCE	GLMRUSDT	agulhada santa de venda	15 minutos	0,0228,
22/01/2026	01:21:10	BINANCE	ACHUSDT	agulhada santa de venda	15 minutos	0,01254,
22/01/2026	01:27:30	BINANCE	BATUSDT	agulhada santa de compra	60 minutos	0,1931,
22/01/2026	01:30:08	BINANCE	ACHUSDT	agulhada santa de venda	15 minutos	0,01256,
22/01/2026	01:30:09	BINANCE	ACHUSDT	agulhada santa de venda	15 minutos	0,01255,
22/01/2026	01:30:09	BINANCE	ACHUSDT	agulhada santa de venda	15 minutos	0,01255,
22/01/2026	01:45:10	BINANCE	ACHUSDT	agulhada santa de venda	15 minutos	0,01259,
22/01/2026	01:49:08	BINANCE	XVSUSDT	agulhada santa de venda	15 minutos	5,46,
22/01/2026	02:00:15	BINANCE	XVSUSDT	agulhada santa de venda	15 minutos	5,46,
22/01/2026	02:01:28	BINANCE	QTUMUSDT	agulhada santa de venda	15 minutos	1,33,
22/01/2026	02:27:12	BINANCE	QTUMUSDT	agulhada santa de venda	15 minutos	1,323,
22/01/2026	02:27:34	BINANCE	C98USDT	agulhada santa de venda	15 minutos	0,0226,
22/01/2026	02:30:13	BINANCE	C98USDT	agulhada santa de venda	15 minutos	0,0226,
22/01/2026	02:30:14	BINANCE	RDNTUSDT	agulhada santa de venda	15 minutos	0,009,
22/01/2026	02:45:07	BINANCE	RDNTUSDT	agulhada santa de venda	15 minutos	0,00899,
22/01/2026	02:52:06	BINANCE	ANKRUSDT	agulhada santa de venda	15 minutos	0,00664,
22/01/2026	02:53:50	BINANCE	LUNAUSDT	agulhada santa de venda	15 minutos	0,0813,
22/01/2026	02:53:57	BINANCE	TRBUSDT	agulhada santa de venda	15 minutos	20,33,
22/01/2026	03:00:15	BINANCE	TRBUSDT	agulhada santa de venda	15 minutos	20,33,
22/01/2026	03:01:04	BINANCE	ANKRUSDT	agulhada santa de venda	15 minutos	0,00664,
22/01/2026	03:03:01	BINANCE	QNTUSDT	agulhada santa de venda	15 minutos	79,39,
22/01/2026	03:04:28	BINANCE	ANKRUSDT	agulhada santa de venda	15 minutos	0,00664,
22/01/2026	03:04:28	BINANCE	ANKRUSDT	agulhada santa de venda	15 minutos	0,00664,
22/01/2026	03:06:13	BINANCE	ICXUSDT	agulhada santa de venda	15 minutos	0,0553,
22/01/2026	03:06:13	BINANCE	ICXUSDT	agulhada santa de venda	15 minutos	0,0553,
22/01/2026	03:10:31	BINANCE	LQTYUSDT	agulhada santa de venda	15 minutos	0,345,
22/01/2026	03:11:08	BINANCE	SUSHIUSDT	agulhada santa de venda	15 minutos	0,3115,
22/01/2026	03:11:15	BINANCE	ZILUSDT	agulhada santa de venda	15 minutos	0,00511,
22/01/2026	03:12:24	BYBIT	BRETTUSDT	agulhada santa de venda	15 minutos	0,01405,
22/01/2026	03:15:11	BINANCE	ANKRUSDT	agulhada santa de venda	15 minutos	0,00662,
22/01/2026	03:15:12	BINANCE	ICXUSDT	agulhada santa de venda	15 minutos	0,0552,
22/01/2026	03:15:42	BINANCE	QNTUSDT	agulhada santa de venda	15 minutos	79,28,
22/01/2026	03:16:04	BINANCE	ZILUSDT	agulhada santa de venda	15 minutos	0,00512,
22/01/2026	03:18:07	BINANCE	ICXUSDT	agulhada santa de venda	15 minutos	0,0551,
22/01/2026	03:19:32	BINANCE	LUNAUSDT	agulhada santa de venda	15 minutos	0,0808,
22/01/2026	03:22:28	BINANCE	CHRUSDT	agulhada santa de venda	15 minutos	0,0438,
22/01/2026	03:23:33	BINANCE	CFXUSDT	agulhada santa de venda	15 minutos	0,0722,
22/01/2026	03:25:06	BYBIT	TONUSDT	agulhada santa de venda	15 minutos	1,564,
22/01/2026	03:26:20	BINANCE	KSMUSDT	agulhada santa de venda	15 minutos	6,8,
22/01/2026	03:30:15	BINANCE	LUNAUSDT	agulhada santa de venda	15 minutos	0,0806,
22/01/2026	03:30:23	BINANCE	CHRUSDT	agulhada santa de venda	15 minutos	0,0434,
22/01/2026	03:30:26	BINANCE	LRCUSDT	agulhada santa de venda	15 minutos	0,0494,
22/01/2026	03:30:27	BINANCE	CFXUSDT	agulhada santa de venda	15 minutos	0,0721,
22/01/2026	03:30:30	BINANCE	RVNUSDT	agulhada santa de venda	15 minutos	0,00688,
22/01/2026	03:30:50	BINANCE	KSMUSDT	agulhada santa de venda	15 minutos	6,81,
22/01/2026	03:31:04	BINANCE	ICXUSDT	agulhada santa de venda	15 minutos	0,0549,
22/01/2026	04:00:14	BINANCE	IOUSDT	alerta de compra	60 minutos	0,151,
22/01/2026	04:17:26	BINANCE	CHRUSDT	alerta de venda	60 minutos	0,0433,
22/01/2026	04:21:15	BINANCE	WIFUSDT	agulhada santa de venda	15 minutos	0,336,
22/01/2026	04:30:31	BYBIT	TONUSDT	agulhada santa de venda	15 minutos	1,565,
22/01/2026	05:00:12	BINANCE	SOLUSDT	agulhada santa de venda	15 minutos	129,81,
22/01/2026	05:11:55	BINANCE	SSVUSDT	agulhada santa de venda	60 minutos	4,187,
22/01/2026	05:11:55	BINANCE	SSVUSDT	agulhada de venda	60 minutos	4,187,
22/01/2026	05:14:24	BINANCE	SOLUSDT	agulhada santa de venda	15 minutos	129,57,
22/01/2026	05:15:08	BINANCE	SOLUSDT	agulhada santa de venda	15 minutos	129,55,
22/01/2026	05:16:11	BINANCE	ZROUSDT	alerta de compra	60 minutos	1,984,
22/01/2026	05:30:06	BINANCE	ROSEUSDT	alerta de compra	60 minutos	0,02141,
22/01/2026	05:30:07	BINANCE	ROSEUSDT	alerta de compra	60 minutos	0,02141,
22/01/2026	05:30:07	BYBIT	ZROUSDT	alerta de compra	60 minutos	1,981,
22/01/2026	05:30:07	BYBIT	ZROUSDT	alerta de compra	60 minutos	1,981,
22/01/2026	05:32:30	BINANCE	XTZUSDT	agulhada santa de venda	15 minutos	0,5897,
22/01/2026	05:33:09	BINANCE	NEARUSDT	agulhada santa de venda	15 minutos	1,543,
22/01/2026	05:39:56	BINANCE	LRCUSDT	agulhada santa de venda	60 minutos	0,0495,
22/01/2026	05:39:56	BINANCE	LRCUSDT	agulhada de venda	60 minutos	0,0495,
22/01/2026	05:40:15	BINANCE	XTZUSDT	agulhada santa de venda	15 minutos	0,5879,
22/01/2026	05:45:10	BINANCE	XTZUSDT	agulhada santa de venda	15 minutos	0,5877,
22/01/2026	05:45:11	BINANCE	NEARUSDT	agulhada santa de venda	15 minutos	1,542,
22/01/2026	06:05:31	BINANCE	ASTRUSDT	alerta de compra	60 minutos	0,01041,
22/01/2026	06:13:40	BINANCE	DYDXUSDT	alerta de compra	60 minutos	0,1811,
22/01/2026	06:38:25	BINANCE	BNBUSDT	alerta de compra	60 minutos	894,32,
22/01/2026	07:15:27	BYBIT	TONUSDT	agulhada santa de compra	60 minutos	1,588,
22/01/2026	07:16:32	BYBIT	TONUSDT	agulhada santa de compra	60 minutos	1,588,
22/01/2026	07:21:41	BINANCE	ACHUSDT	agulhada santa de venda	15 minutos	0,01235,
22/01/2026	07:22:10	BINANCE	ACHUSDT	agulhada santa de venda	15 minutos	0,01234,
22/01/2026	07:28:05	BINANCE	SANDUSDT	agulhada santa de venda	15 minutos	0,1623,
22/01/2026	08:19:58	BINANCE	ARUSDT	agulhada santa de venda	15 minutos	3,56,
22/01/2026	08:22:59	BINANCE	HFTUSDT	agulhada santa de venda	15 minutos	0,0267,
22/01/2026	08:24:02	BINANCE	COTIUSDT	agulhada santa de venda	15 minutos	0,0195,
22/01/2026	08:24:03	BINANCE	KNCUSDT	agulhada santa de venda	15 minutos	0,2159,
22/01/2026	08:25:39	BINANCE	CYBERUSDT	agulhada santa de venda	15 minutos	0,717,
22/01/2026	08:26:56	BINANCE	XVSUSDT	agulhada santa de venda	15 minutos	5,31,
22/01/2026	08:30:17	BINANCE	INJUSDT	agulhada de venda	60 minutos	4,627,
22/01/2026	08:30:24	BINANCE	INJUSDT	agulhada de venda	60 minutos	4,627,
22/01/2026	08:30:25	BINANCE	ARUSDT	agulhada santa de venda	15 minutos	3,55,
22/01/2026	08:30:31	BINANCE	XVSUSDT	agulhada santa de venda	15 minutos	5,31,
22/01/2026	08:30:44	BINANCE	COTIUSDT	agulhada santa de venda	15 minutos	0,01948,
22/01/2026	08:30:58	BINANCE	NEOUSDT	agulhada santa de venda	15 minutos	3,679,
22/01/2026	08:31:05	BINANCE	HFTUSDT	agulhada santa de venda	15 minutos	0,0267,
22/01/2026	08:33:31	BINANCE	DASHUSDT	agulhada santa de venda	15 minutos	65,97,
22/01/2026	08:35:36	BINANCE	COTIUSDT	agulhada santa de venda	60 minutos	0,01948,
22/01/2026	08:35:36	BINANCE	COTIUSDT	agulhada de venda	60 minutos	0,01948,
22/01/2026	08:40:24	BINANCE	UMAUSDT	agulhada de venda	60 minutos	0,703,
22/01/2026	08:42:05	BINANCE	ARPAUSDT	agulhada santa de venda	15 minutos	0,01511,
22/01/2026	08:45:25	BINANCE	DASHUSDT	agulhada santa de venda	15 minutos	65,89,
22/01/2026	09:00:04	BINANCE	LUNAUSDT	agulhada santa de venda	15 minutos	0,0802,
