Data	Hora	Exchange	Moeda	Sinal	Grafico	Preco
25/01/2026	21:15:09	BINANCE	BEAMXUSDT	alerta de compra	60 minutos	0,003144,
25/01/2026	21:15:13	BINANCE	BEAMXUSDT	alerta de compra	60 minutos	0,003141,
25/01/2026	21:15:15	BINANCE	BEAMXUSDT	alerta de compra	60 minutos	0,003141,
25/01/2026	21:18:12	BINANCE	DUSKUSDT	agulhada santa de venda	15 minutos	0,1584,
25/01/2026	21:38:32	BINANCE	SANDUSDT	agulhada santa de venda	15 minutos	0,1278,
25/01/2026	21:40:01	BINANCE	DUSKUSDT	agulhada santa de venda	15 minutos	0,1559,
25/01/2026	21:42:50	BINANCE	LPTUSDT	alerta de venda	60 minutos	3,012,
25/01/2026	21:43:04	BINANCE	XTZUSDT	alerta de venda	60 minutos	0,5595,
25/01/2026	21:43:24	BINANCE	QNTUSDT	agulhada santa de venda	15 minutos	72,84,
25/01/2026	21:45:18	BINANCE	UNIUSDT	agulhada santa de venda	15 minutos	4,497,
25/01/2026	21:45:25	BINANCE	SANDUSDT	agulhada santa de venda	15 minutos	0,1278,
25/01/2026	21:47:25	BINANCE	THETAUSDT	agulhada santa de venda	15 minutos	0,268,
25/01/2026	21:47:25	BINANCE	THETAUSDT	agulhada santa de venda	15 minutos	0,268,
25/01/2026	22:00:39	BINANCE	UNIUSDT	agulhada santa de venda	15 minutos	4,562,
25/01/2026	23:28:12	BINANCE	XVSUSDT	agulhada santa de compra	60 minutos	5,34,
25/01/2026	23:44:07	BINANCE	STGUSDT	agulhada santa de venda	15 minutos	0,1618,
25/01/2026	23:45:48	BINANCE	STGUSDT	agulhada santa de venda	15 minutos	0,162,
26/01/2026	00:00:23	BINANCE	ASTRUSDT	agulhada santa de compra	60 minutos	0,0127,
26/01/2026	00:00:30	BINANCE	ASTRUSDT	agulhada santa de compra	60 minutos	0,0127,
26/01/2026	00:00:37	BINANCE	ASTRUSDT	agulhada santa de compra	60 minutos	0,0127,
26/01/2026	02:39:25	BINANCE	UNIUSDT	agulhada santa de venda	15 minutos	4,551,
26/01/2026	03:00:47	BINANCE	ZROUSDT	alerta de compra	60 minutos	1,896,
26/01/2026	03:15:28	BINANCE	IOTAUSDT	agulhada santa de venda	15 minutos	0,0846,
26/01/2026	03:15:56	BINANCE	STGUSDT	alerta de compra	60 minutos	0,1637,
26/01/2026	03:53:08	BINANCE	ZROUSDT	agulhada santa de compra	60 minutos	1,92,
26/01/2026	04:00:22	BINANCE	STGUSDT	agulhada santa de compra	60 minutos	0,1674,
26/01/2026	04:00:31	BINANCE	ZROUSDT	alerta de compra	60 minutos	1,938,
26/01/2026	04:15:16	BINANCE	GMTUSDT	agulhada santa de compra	60 minutos	0,01633,
26/01/2026	04:15:21	BINANCE	GMTUSDT	agulhada santa de compra	60 minutos	0,01633,
26/01/2026	05:05:24	BINANCE	LTCUSDT	agulhada santa de compra	60 minutos	68,59,
26/01/2026	05:23:35	BINANCE	YGGUSDT	agulhada santa de compra	60 minutos	0,0635,
26/01/2026	05:30:39	BINANCE	TLMUSDT	agulhada santa de compra	60 minutos	0,002244,
26/01/2026	05:30:39	BINANCE	TLMUSDT	agulhada santa de compra	60 minutos	0,002244,
26/01/2026	05:30:39	BINANCE	TLMUSDT	agulhada santa de compra	60 minutos	0,00225,
26/01/2026	05:54:58	BINANCE	DUSKUSDT	alerta de venda	60 minutos	0,1564,
26/01/2026	06:10:08	BINANCE	IOUSDT	agulhada santa de venda	15 minutos	0,15,
26/01/2026	06:10:08	BINANCE	IOUSDT	agulhada santa de venda	15 minutos	0,15,
26/01/2026	06:13:06	BINANCE	ARUSDT	agulhada santa de venda	15 minutos	3,33,
26/01/2026	06:13:22	MEXC	VISTAUSDT	agulhada santa de venda	15 minutos	2,854,
26/01/2026	06:15:13	BINANCE	DASHUSDT	agulhada santa de venda	15 minutos	58,38,
26/01/2026	06:15:19	MEXC	VISTAUSDT	agulhada santa de venda	15 minutos	2,859,
26/01/2026	06:15:24	BINANCE	IOUSDT	agulhada santa de venda	15 minutos	0,15,
26/01/2026	06:15:26	MEXC	VISTAUSDT	agulhada santa de venda	15 minutos	2,859,
