Data	Hora	Exchange	Moeda	Sinal	Grafico	Preco
15/01/2026	23:45:07	BINANCE	EDUUSDT	agulhada santa de compra	60 minutos	0,1615,
15/01/2026	23:45:08	BINANCE	EDUUSDT	agulhada santa de compra	60 minutos	0,1615,
16/01/2026	00:16:01	BINANCE	FLOWUSDT	alerta de compra	60 minutos	0,09,
16/01/2026	00:30:09	BINANCE	LDOUSDT	agulhada santa de venda	15 minutos	0,6155,
16/01/2026	00:30:10	BINANCE	HBARUSDT	agulhada santa de venda	15 minutos	0,11758,
16/01/2026	00:30:11	BINANCE	HBARUSDT	agulhada santa de venda	15 minutos	0,11758,
16/01/2026	00:31:35	BINANCE	ENSUSDT	agulhada santa de venda	15 minutos	10,31,
16/01/2026	00:31:43	BINANCE	IOTAUSDT	agulhada santa de venda	15 minutos	0,0966,
16/01/2026	00:31:43	BINANCE	IOTAUSDT	agulhada santa de venda	15 minutos	0,0966,
16/01/2026	00:32:59	BINANCE	BNBUSDT	agulhada santa de venda	15 minutos	930,3,
16/01/2026	00:33:18	BINANCE	C98USDT	agulhada santa de venda	15 minutos	0,0235,
16/01/2026	00:33:18	BINANCE	C98USDT	agulhada santa de venda	15 minutos	0,0235,
16/01/2026	00:38:31	BINANCE	TAOUSDT	agulhada santa de venda	15 minutos	277,6,
16/01/2026	00:45:05	BINANCE	TAOUSDT	agulhada santa de venda	15 minutos	277,5,
16/01/2026	00:45:07	BINANCE	HBARUSDT	agulhada santa de venda	15 minutos	0,1174,
16/01/2026	00:45:19	BINANCE	C98USDT	agulhada santa de venda	15 minutos	0,0235,
16/01/2026	00:45:27	BINANCE	IOTAUSDT	agulhada santa de venda	15 minutos	0,0964,
16/01/2026	00:45:27	BINANCE	IOTAUSDT	agulhada santa de venda	15 minutos	0,0964,
16/01/2026	00:45:27	BINANCE	IOTAUSDT	agulhada santa de venda	15 minutos	0,0964,
16/01/2026	00:48:18	BINANCE	OMUSDT	agulhada santa de venda	15 minutos	0,0744,
16/01/2026	00:48:18	BINANCE	OMUSDT	agulhada santa de venda	15 minutos	0,0744,
16/01/2026	00:48:23	BINANCE	VIRTUALUSDT	alerta de venda	60 minutos	0,986,
16/01/2026	00:56:11	BINANCE	RVNUSDT	agulhada santa de venda	15 minutos	0,00728,
