Data	Hora	Exchange	Moeda	Sinal	Grafico	Preco
22/01/2026	21:26:23	BINANCE	YGGUSDT	alerta de compra	60 minutos	0,0647,
22/01/2026	21:27:18	BINANCE	ALICEUSDT	alerta de compra	60 minutos	0,1765,
22/01/2026	21:30:27	BINANCE	AGLDUSDT	alerta de compra	60 minutos	0,289,
22/01/2026	21:46:04	BYBIT	MANTAUSDT	agulhada santa de venda	15 minutos	0,0764,
22/01/2026	22:13:10	BINANCE	LRCUSDT	agulhada santa de compra	60 minutos	0,0499,
22/01/2026	22:13:10	BINANCE	LRCUSDT	agulhada santa de compra	60 minutos	0,0499,
22/01/2026	22:13:10	BINANCE	LRCUSDT	alerta de compra	60 minutos	0,0499,
22/01/2026	22:13:11	BINANCE	LRCUSDT	alerta de compra	60 minutos	0,0499,
22/01/2026	22:16:09	BINANCE	ATAUSDT	alerta de compra	60 minutos	0,0177,
22/01/2026	22:35:41	BINANCE	SANDUSDT	agulhada santa de compra	60 minutos	0,1713,
22/01/2026	22:38:23	BINANCE	ALGOUSDT	agulhada santa de compra	60 minutos	0,1206,
22/01/2026	22:48:56	BINANCE	MANAUSDT	agulhada santa de compra	60 minutos	0,1751,
22/01/2026	22:49:04	BYBIT	MANAUSDT	agulhada santa de compra	60 minutos	0,1756,
22/01/2026	22:56:12	BINANCE	MAGICUSDT	alerta de compra	60 minutos	0,0937,
22/01/2026	22:57:05	BINANCE	BNTUSDT	alerta de compra	60 minutos	0,4001,
22/01/2026	23:20:57	BINANCE	LRCUSDT	agulhada santa de compra	60 minutos	0,0499,
22/01/2026	23:20:58	BINANCE	LRCUSDT	agulhada santa de compra	60 minutos	0,0499,
22/01/2026	23:42:58	BINANCE	GLMUSDT	alerta de venda	60 minutos	0,2284,
23/01/2026	00:15:29	BINANCE	APTUSDT	agulhada santa de compra	60 minutos	1,589,
23/01/2026	00:30:39	BINANCE	GRTUSDT	agulhada santa de compra	60 minutos	0,03734,
23/01/2026	00:38:43	BINANCE	FLOWUSDT	agulhada santa de compra	60 minutos	0,074,
23/01/2026	00:46:15	BINANCE	ZECUSDT	agulhada santa de venda	15 minutos	365,3,
23/01/2026	00:46:15	BINANCE	ZECUSDT	agulhada santa de venda	15 minutos	365,3,
23/01/2026	02:00:30	BINANCE	VETUSDT	agulhada santa de compra	60 minutos	0,01044,
23/01/2026	02:00:32	BINANCE	VETUSDT	agulhada santa de compra	60 minutos	0,01044,
23/01/2026	02:15:27	BINANCE	YFIUSDT	agulhada santa de compra	60 minutos	3424,
23/01/2026	05:00:31	BINANCE	LQTYUSDT	alerta de venda	60 minutos	0,333,
23/01/2026	05:33:17	BINANCE	BEAMXUSDT	agulhada santa de venda	15 minutos	0,002924,
23/01/2026	05:37:00	BINANCE	ENAUSDT	agulhada santa de venda	15 minutos	0,1772,
23/01/2026	05:45:23	BINANCE	INJUSDT	alerta de venda	60 minutos	4,593,
23/01/2026	05:48:15	BINANCE	JASMYUSDT	agulhada santa de venda	15 minutos	0,00736,
23/01/2026	05:48:59	BINANCE	UMAUSDT	agulhada santa de venda	15 minutos	0,706,
23/01/2026	05:49:02	BINANCE	TAOUSDT	alerta de venda	60 minutos	238,2,
23/01/2026	05:49:04	BINANCE	DOGEUSDT	alerta de venda	60 minutos	0,12428,
23/01/2026	05:49:46	BINANCE	ARPAUSDT	agulhada santa de venda	15 minutos	0,0144,
23/01/2026	05:53:01	BINANCE	API3USDT	agulhada santa de venda	15 minutos	0,3994,
23/01/2026	06:06:23	BINANCE	SKLUSDT	alerta de compra	60 minutos	0,01137,
23/01/2026	06:56:46	BINANCE	JOEUSDT	agulhada santa de venda	60 minutos	0,0561,
23/01/2026	06:56:46	BINANCE	JOEUSDT	agulhada de venda	60 minutos	0,0561,
23/01/2026	07:30:24	BINANCE	PENDLEUSDT	agulhada santa de venda	60 minutos	2,106,
23/01/2026	07:30:24	BINANCE	PENDLEUSDT	agulhada de venda	60 minutos	2,106,
23/01/2026	07:31:04	BINANCE	PENDLEUSD	agulhada santa de venda	60 minutos	2,10343981,
23/01/2026	07:31:04	BINANCE	PENDLEUSD	agulhada de venda	60 minutos	2,10343981,
23/01/2026	08:16:19	BINANCE	LPTUSDT	alerta de compra	60 minutos	2,886,
23/01/2026	08:37:19	BINANCE	ZRXUSDT	agulhada santa de compra	60 minutos	0,1274,
23/01/2026	08:44:15	BINANCE	TRXUSDT	agulhada santa de venda	15 minutos	0,3074,
23/01/2026	08:44:21	BINANCE	GTCUSDT	alerta de compra	60 minutos	0,13,
23/01/2026	08:48:01	BINANCE	HFTUSDT	alerta de compra	60 minutos	0,0268,
23/01/2026	08:53:25	BINANCE	PENDLEUSDT	agulhada santa de venda	60 minutos	2,115,
23/01/2026	08:53:26	BINANCE	PENDLEUSDT	agulhada de venda	60 minutos	2,115,
