Data	Hora	Exchange	Moeda	Sinal	Grafico	Preco
24/01/2026	21:01:16	BINANCE	ZENUSDT	agulhada santa de venda	15 minutos	9,654,
24/01/2026	21:03:25	BINANCE	MAGICUSDT	agulhada santa de compra	60 minutos	0,0938,
24/01/2026	21:08:07	BINANCE	BEAMXUSDT	agulhada santa de compra	60 minutos	0,00293,
24/01/2026	21:11:33	MEXC	VISTAUSDT	alerta de compra	60 minutos	3,004,
24/01/2026	21:13:48	BINANCE	LPTUSDT	agulhada santa de venda	15 minutos	3,422,
24/01/2026	21:15:04	BINANCE	SANDUSDT	alerta de venda	60 minutos	0,1464,
24/01/2026	21:15:04	BINANCE	SANDUSDT	alerta de venda	60 minutos	0,1465,
24/01/2026	21:15:07	BINANCE	LPTUSDT	agulhada santa de venda	15 minutos	3,441,
24/01/2026	21:15:07	BINANCE	LPTUSDT	agulhada santa de venda	15 minutos	3,441,
24/01/2026	21:15:07	BINANCE	LPTUSDT	agulhada santa de venda	15 minutos	3,441,
24/01/2026	21:15:37	BINANCE	SANDUSDT	alerta de venda	60 minutos	0,1465,
24/01/2026	21:16:46	BINANCE	ADAUSDT	alerta de venda	60 minutos	0,3577,
24/01/2026	21:23:46	BINANCE	FETUSDT	alerta de venda	60 minutos	0,2298,
24/01/2026	21:23:49	BINANCE	ZILUSDT	agulhada santa de compra	60 minutos	0,00503,
24/01/2026	21:25:34	BINANCE	MAVUSDT	alerta de compra	60 minutos	0,02585,
24/01/2026	21:30:23	BINANCE	LPTUSDT	agulhada santa de venda	15 minutos	3,464,
24/01/2026	21:35:30	BINANCE	BLURUSDT	alerta de venda	60 minutos	0,0307,
24/01/2026	21:38:10	BINANCE	AXSUSDT	alerta de venda	60 minutos	2,376,
24/01/2026	21:38:19	BINANCE	MANAUSDT	alerta de venda	60 minutos	0,1535,
24/01/2026	21:45:37	BINANCE	STXUSDT	alerta de venda	60 minutos	0,3002,
24/01/2026	21:49:42	BINANCE	AGLDUSDT	agulhada santa de compra	60 minutos	0,31,
24/01/2026	21:53:07	BINANCE	OMUSDT	agulhada santa de compra	60 minutos	0,0679,
24/01/2026	22:00:13	BINANCE	COMPUSDT	alerta de compra	60 minutos	24,05,
24/01/2026	22:05:06	BINANCE	JTOUSDT	agulhada santa de compra	60 minutos	0,339,
24/01/2026	22:09:19	BINANCE	DUSKUSDT	agulhada santa de compra	60 minutos	0,1571,
24/01/2026	22:10:37	BINANCE	ONTUSDT	agulhada santa de compra	60 minutos	0,0587,
24/01/2026	22:18:34	BINANCE	XRPUSD	agulhada santa de venda	60 minutos	1,906,
24/01/2026	22:18:34	BINANCE	XRPUSD	agulhada de venda	60 minutos	1,906,
24/01/2026	22:28:03	BINANCE	WLDUSDT	alerta de venda	60 minutos	0,4683,
24/01/2026	22:30:11	BINANCE	APEUSDT	alerta de venda	60 minutos	0,1859,
24/01/2026	22:30:11	BINANCE	XRPUSDT	agulhada santa de venda	60 minutos	1,9084,
24/01/2026	22:30:11	BINANCE	APEUSDT	alerta de venda	60 minutos	0,1858,
24/01/2026	22:30:12	BINANCE	XRPUSDT	agulhada de venda	60 minutos	1,9084,
24/01/2026	22:30:17	BINANCE	XRPUSDT	agulhada santa de venda	60 minutos	1,9084,
24/01/2026	22:30:17	BINANCE	XRPUSDT	agulhada de venda	60 minutos	1,9084,
24/01/2026	22:30:23	BINANCE	DOGEUSDT	alerta de venda	60 minutos	0,12376,
24/01/2026	22:30:26	BINANCE	DOGEUSDT	alerta de venda	60 minutos	0,12376,
24/01/2026	22:31:59	BINANCE	LDOUSDT	alerta de venda	60 minutos	0,519,
24/01/2026	22:32:02	BINANCE	WIFUSDT	agulhada santa de venda	15 minutos	0,332,
24/01/2026	22:32:13	BINANCE	LINKUSDT	alerta de venda	60 minutos	12,15,
24/01/2026	22:32:26	BINANCE	GALAUSDT	agulhada santa de venda	15 minutos	0,00617,
24/01/2026	22:35:47	BINANCE	TRBUSDT	alerta de venda	60 minutos	19,95,
24/01/2026	22:35:59	BINANCE	QNTUSDT	alerta de venda	60 minutos	78,49,
24/01/2026	22:39:20	BINANCE	APEUSDT	agulhada santa de venda	15 minutos	0,1852,
24/01/2026	22:39:49	BINANCE	MASKUSDT	alerta de venda	60 minutos	0,619,
24/01/2026	22:45:08	BINANCE	HBARUSDT	alerta de venda	60 minutos	0,1079,
24/01/2026	22:45:11	BINANCE	ORDIUSDT	agulhada santa de venda	60 minutos	4,027,
24/01/2026	22:45:11	BINANCE	ORDIUSDT	agulhada de venda	60 minutos	4,027,
24/01/2026	22:45:12	BINANCE	ORDIUSDT	alerta de venda	60 minutos	4,027,
24/01/2026	22:45:12	BINANCE	HBARUSDT	alerta de venda	60 minutos	0,1079,
24/01/2026	22:45:13	BINANCE	ORDIUSDT	agulhada santa de venda	15 minutos	4,028,
24/01/2026	22:45:15	BINANCE	AVAXUSDT	alerta de venda	60 minutos	12,
24/01/2026	22:45:15	BINANCE	AVAXUSDT	alerta de venda	60 minutos	12,01,
24/01/2026	22:45:17	BINANCE	WIFUSDT	alerta de venda	60 minutos	0,332,
24/01/2026	22:45:20	BINANCE	WIFUSDT	agulhada santa de venda	15 minutos	0,332,
24/01/2026	22:45:21	BINANCE	WIFUSDT	alerta de venda	60 minutos	0,332,
24/01/2026	22:45:29	BINANCE	APEUSDT	agulhada santa de venda	15 minutos	0,1852,
24/01/2026	22:49:59	BINANCE	ASTRUSDT	agulhada santa de compra	60 minutos	0,01061,
24/01/2026	22:52:55	BINANCE	IOUSDT	agulhada santa de venda	15 minutos	0,157,
24/01/2026	22:57:28	BINANCE	ROSEUSDT	alerta de compra	60 minutos	0,01657,
24/01/2026	22:59:05	BINANCE	HIGHUSDT	agulhada santa de venda	15 minutos	0,213,
24/01/2026	23:00:21	BINANCE	VIRTUALUSDT	agulhada santa de venda	60 minutos	0,8124,
24/01/2026	23:00:21	BINANCE	VIRTUALUSDT	agulhada de venda	60 minutos	0,8124,
24/01/2026	23:00:21	BINANCE	VIRTUALUSDT	alerta de venda	60 minutos	0,8124,
24/01/2026	23:00:30	BINANCE	AGLDUSDT	agulhada santa de compra	60 minutos	0,314,
24/01/2026	23:00:31	BINANCE	VIRTUALUSDT	agulhada santa de venda	60 minutos	0,8124,
24/01/2026	23:00:31	BINANCE	VIRTUALUSDT	agulhada de venda	60 minutos	0,8124,
24/01/2026	23:00:32	BINANCE	VIRTUALUSDT	alerta de venda	60 minutos	0,8124,
24/01/2026	23:00:33	BINANCE	AGLDUSDT	agulhada santa de compra	60 minutos	0,316,
24/01/2026	23:00:34	BINANCE	VIRTUALUSDT	agulhada santa de venda	60 minutos	0,8124,
24/01/2026	23:00:34	BINANCE	VIRTUALUSDT	agulhada de venda	60 minutos	0,8124,
24/01/2026	23:00:35	BINANCE	VIRTUALUSDT	alerta de venda	60 minutos	0,8124,
24/01/2026	23:00:36	BINANCE	VIRTUALUSDT	agulhada santa de venda	60 minutos	0,8124,
24/01/2026	23:00:36	BINANCE	VIRTUALUSDT	agulhada de venda	60 minutos	0,8124,
24/01/2026	23:00:37	BINANCE	VIRTUALUSDT	alerta de venda	60 minutos	0,8124,
24/01/2026	23:01:10	BINANCE	HIGHUSDT	agulhada santa de venda	15 minutos	0,213,
24/01/2026	23:03:23	BINANCE	BEAMXUSDT	agulhada santa de compra	60 minutos	0,002953,
24/01/2026	23:15:10	BINANCE	APTUSDT	agulhada santa de compra	60 minutos	1,561,
24/01/2026	23:15:11	BINANCE	APTUSDT	agulhada santa de compra	60 minutos	1,56,
24/01/2026	23:43:15	BINANCE	STORJUSDT	agulhada santa de venda	15 minutos	0,128,
24/01/2026	23:44:52	BINANCE	AAVEUSDT	agulhada santa de venda	15 minutos	155,81,
24/01/2026	23:45:13	BINANCE	AAVEUSDT	agulhada santa de venda	15 minutos	155,81,
24/01/2026	23:45:22	BINANCE	ORDIUSDT	alerta de venda	60 minutos	4,029,
24/01/2026	23:45:24	BINANCE	TRBUSDT	alerta de venda	60 minutos	19,98,
24/01/2026	23:46:07	BINANCE	STORJUSDT	agulhada santa de venda	15 minutos	0,128,
24/01/2026	23:47:49	BINANCE	DUSKUSDT	agulhada santa de compra	60 minutos	0,177,
24/01/2026	23:48:54	BINANCE	STORJUSDT	agulhada santa de venda	15 minutos	0,1278,
24/01/2026	23:48:54	BINANCE	STORJUSDT	alerta de venda	60 minutos	0,1278,
25/01/2026	00:00:22	BINANCE	CRVUSDT	agulhada santa de venda	60 minutos	0,3582,
25/01/2026	00:00:23	BINANCE	CRVUSDT	agulhada de venda	60 minutos	0,3582,
25/01/2026	00:01:08	BINANCE	STORJUSDT	agulhada santa de venda	15 minutos	0,1279,
25/01/2026	00:21:14	BINANCE	DOGEUSDT	agulhada santa de venda	60 minutos	0,12343,
25/01/2026	00:21:14	BINANCE	DOGEUSDT	agulhada de venda	60 minutos	0,12343,
25/01/2026	00:21:29	BINANCE	AAVEUSDT	alerta de venda	60 minutos	155,37,
25/01/2026	00:30:21	BINANCE	OPUSDT	alerta de venda	60 minutos	0,3008,
25/01/2026	00:30:23	BINANCE	OPUSDT	alerta de venda	60 minutos	0,3007,
25/01/2026	00:30:41	BINANCE	SUIUSDT	agulhada santa de venda	15 minutos	1,4786,
25/01/2026	00:30:41	BINANCE	ALGOUSDT	alerta de venda	60 minutos	0,1178,
25/01/2026	00:30:51	BINANCE	SUIUSDT	agulhada santa de venda	15 minutos	1,4781,
25/01/2026	00:30:51	BINANCE	SUIUSDT	alerta de venda	60 minutos	1,4781,
25/01/2026	00:30:54	BINANCE	NEARUSDT	alerta de venda	60 minutos	1,5,
25/01/2026	00:30:59	BINANCE	SOLUSDT	agulhada santa de venda	60 minutos	126,44,
25/01/2026	00:30:59	BINANCE	SOLUSDT	agulhada de venda	60 minutos	126,44,
25/01/2026	00:31:00	BINANCE	ORDIUSDT	agulhada santa de venda	60 minutos	4,01,
25/01/2026	00:31:01	BINANCE	ORDIUSDT	agulhada de venda	60 minutos	4,01,
25/01/2026	00:31:05	BINANCE	LTCUSDT	agulhada santa de venda	15 minutos	67,84,
25/01/2026	00:31:06	BINANCE	LTCUSDT	agulhada santa de venda	15 minutos	67,84,
25/01/2026	00:32:59	BINANCE	UNIUSDT	alerta de venda	60 minutos	4,828,
25/01/2026	00:33:03	BINANCE	UNIUSDT	agulhada santa de venda	15 minutos	4,828,
25/01/2026	00:45:08	BINANCE	SUIUSDT	agulhada santa de venda	15 minutos	1,4742,
25/01/2026	00:45:18	BINANCE	SUSHIUSDT	alerta de venda	60 minutos	0,3001,
25/01/2026	00:45:19	BINANCE	SUSHIUSDT	alerta de venda	60 minutos	0,3,
25/01/2026	00:45:22	BINANCE	IOTXUSDT	alerta de venda	60 minutos	0,00783,
25/01/2026	00:45:22	BINANCE	IOTXUSDT	alerta de venda	60 minutos	0,00783,
25/01/2026	00:48:05	BINANCE	IOTAUSDT	agulhada santa de venda	15 minutos	0,0874,
25/01/2026	00:53:13	BINANCE	QTUMUSDT	alerta de venda	60 minutos	1,27,
25/01/2026	00:53:14	BINANCE	QNTUSDT	agulhada santa de venda	60 minutos	78,01,
25/01/2026	00:53:15	BINANCE	QNTUSDT	agulhada de venda	60 minutos	78,01,
25/01/2026	00:54:27	BINANCE	ICPUSDT	agulhada santa de venda	15 minutos	3,447,
25/01/2026	00:55:40	BINANCE	ZRXUSDT	agulhada santa de venda	15 minutos	0,1277,
25/01/2026	01:00:19	BINANCE	COTIUSDT	alerta de venda	60 minutos	0,01841,
25/01/2026	01:00:19	BINANCE	GRTUSDT	alerta de venda	60 minutos	0,0363,
25/01/2026	01:00:27	BINANCE	COTIUSDT	alerta de venda	60 minutos	0,01841,
25/01/2026	01:00:29	BINANCE	CRVUSDT	agulhada santa de venda	60 minutos	0,3561,
25/01/2026	01:00:29	BINANCE	CRVUSDT	agulhada de venda	60 minutos	0,3561,
25/01/2026	01:00:34	BINANCE	IOTAUSDT	agulhada santa de venda	15 minutos	0,0873,
25/01/2026	01:01:02	BINANCE	CFXUSDT	alerta de venda	60 minutos	0,0701,
25/01/2026	01:14:10	BINANCE	AAVEUSDT	agulhada santa de venda	60 minutos	154,74,
25/01/2026	01:14:10	BINANCE	AAVEUSDT	agulhada de venda	60 minutos	154,74,
25/01/2026	01:14:19	BINANCE	OPUSDT	agulhada santa de venda	60 minutos	0,299,
25/01/2026	01:14:19	BINANCE	OPUSDT	agulhada de venda	60 minutos	0,299,
25/01/2026	01:14:20	BINANCE	TAOUSDT	agulhada santa de venda	60 minutos	236,
25/01/2026	01:14:21	BINANCE	TAOUSDT	agulhada de venda	60 minutos	236,
25/01/2026	01:15:18	BINANCE	SFPUSDT	agulhada santa de venda	15 minutos	0,3576,
25/01/2026	01:16:05	BINANCE	OGNUSDT	alerta de venda	60 minutos	0,0301,
