Data	Hora	Exchange	Moeda	Sinal	Grafico	Preco
21/01/2026	05:46:35	BINANCE	HOOKUSDT	agulhada santa de venda	15 minutos	0,0347,
21/01/2026	05:46:35	BINANCE	HOOKUSDT	agulhada santa de venda	15 minutos	0,0347,
21/01/2026	05:51:52	BINANCE	JTOUSDT	agulhada santa de venda	15 minutos	0,339,
21/01/2026	05:54:16	BINANCE	JTOUSDT	agulhada santa de venda	15 minutos	0,339,
21/01/2026	05:54:30	BINANCE	ETCUSDT	agulhada santa de venda	15 minutos	11,67,
21/01/2026	05:55:12	BINANCE	JTOUSDT	agulhada santa de venda	15 minutos	0,339,
21/01/2026	05:55:21	BINANCE	ETCUSDT	agulhada santa de venda	15 minutos	11,7,
21/01/2026	06:00:14	BINANCE	ETCUSDT	agulhada santa de venda	15 minutos	11,72,
21/01/2026	06:07:01	BYBIT	THETAUSDT	agulhada santa de venda	15 minutos	0,304,
21/01/2026	06:07:09	BINANCE	WIFUSDT	agulhada santa de venda	15 minutos	0,336,
21/01/2026	06:15:11	BYBIT	THETAUSDT	agulhada santa de venda	15 minutos	0,304,
21/01/2026	06:30:11	BINANCE	QNTUSDT	alerta de compra	60 minutos	78,42,
21/01/2026	06:45:07	BINANCE	TLMUSDT	alerta de compra	60 minutos	0,002508,
21/01/2026	06:45:08	BINANCE	TLMUSDT	alerta de compra	60 minutos	0,002507,
21/01/2026	06:45:08	BINANCE	TLMUSDT	alerta de compra	60 minutos	0,002508,
21/01/2026	07:10:39	BINANCE	CTSIUSDT	alerta de compra	60 minutos	0,0346,
21/01/2026	07:15:35	BINANCE	MASKUSDT	alerta de compra	60 minutos	0,621,
21/01/2026	07:15:42	BINANCE	CYBERUSDT	alerta de compra	60 minutos	0,716,
21/01/2026	07:24:56	BINANCE	INJUSDT	alerta de compra	60 minutos	4,677,
21/01/2026	08:00:14	BYBIT	BRETTUSDT	agulhada santa de venda	15 minutos	0,01373,
21/01/2026	08:46:23	BINANCE	ARKMUSDT	agulhada santa de venda	15 minutos	0,179,
21/01/2026	08:54:30	BINANCE	KAVAUSDT	agulhada santa de venda	15 minutos	0,0799,
21/01/2026	08:54:41	BINANCE	RSRUSDT	agulhada santa de venda	15 minutos	0,002351,
21/01/2026	08:55:53	BINANCE	XLMUSDT	agulhada santa de venda	15 minutos	0,211,
21/01/2026	08:56:24	BYBIT	TONUSDT	agulhada santa de venda	15 minutos	1,528,
21/01/2026	08:57:02	BINANCE	YGGUSDT	agulhada santa de venda	15 minutos	0,0621,
21/01/2026	08:57:02	BINANCE	YGGUSDT	agulhada santa de venda	15 minutos	0,0621,
21/01/2026	08:57:05	BINANCE	FILUSDT	agulhada santa de venda	15 minutos	1,339,
21/01/2026	08:57:06	BINANCE	FETUSDT	agulhada santa de venda	15 minutos	0,2356,
21/01/2026	08:57:22	BINANCE	VETUSDT	agulhada santa de venda	15 minutos	0,01032,
21/01/2026	08:57:53	BINANCE	GALAUSDT	agulhada santa de venda	15 minutos	0,00632,
21/01/2026	08:57:57	BINANCE	RDNTUSDT	agulhada santa de venda	15 minutos	0,00893,
21/01/2026	08:57:58	BINANCE	WOOUSDT	agulhada santa de venda	15 minutos	0,0251,
21/01/2026	08:58:04	BINANCE	BEAMXUSDT	agulhada santa de venda	15 minutos	0,002834,
21/01/2026	08:59:22	BINANCE	OGNUSDT	agulhada santa de venda	15 minutos	0,0299,
